Date,technical_indicator+sentiment_score,daily_return_ti+ss,technical_indicator+sentiment_score+rnn_score,daily_return_ti+ss+rnn_score
2019-02-19,1000000.0,,1000000.0,
2019-02-20,998811.390629402,-0.0011886093705979484,998811.390629402,-0.0011886093705979484
2019-02-21,993440.7282300759,-0.005377053615639893,993440.7282300759,-0.005377053615639893
2019-02-22,995508.6886594859,0.002081614303345747,995508.6886594859,0.002081614303345747
2019-02-23,995095.559590503,-0.00041499293144209304,995095.559590503,-0.000414992931442093
2019-02-24,995826.6966605493,0.0007347405613458147,995826.6966605493,0.0007347405613458148
2019-02-25,993379.499349729,-0.002457453007663646,993379.499349729,-0.0024574530076636463
2019-02-26,1001049.1479164041,0.007720763889022875,1001049.1479164041,0.007720763889022875
2019-02-27,1005043.8350850631,0.003990500543328723,1005043.8350850631,0.003990500543328722
2019-02-28,1014338.39245071,0.009247912420516702,1014338.39245071,0.009247912420516702
2019-03-01,1041165.2536160772,0.026447644459707265,1041165.2536160772,0.02644764445970726
2019-03-02,1047590.6372569213,0.006171338909484403,1047590.6372569213,0.006171338909484403
2019-03-03,1043206.494136396,-0.004184977380100485,1043206.494136396,-0.004184977380100485
2019-03-04,1037986.0435951359,-0.005004235087303299,1037986.0435951359,-0.005004235087303299
2019-03-05,1049104.4437290258,0.01071151216579036,1049104.4437290258,0.01071151216579036
2019-03-06,1072160.248397292,0.021976653331402085,1072160.248397292,0.021976653331402085
2019-03-07,1102724.71424638,0.02850736715409541,1102724.71424638,0.028507367154095412
2019-03-08,1137880.7988744744,0.03188110701964342,1137880.7988744744,0.03188110701964342
2019-03-09,1284553.6504291622,0.1289000145707424,1284553.6504291622,0.1289000145707424
2019-03-10,1243020.4637117477,-0.032332776994980716,1245272.4177347778,-0.030579674645166314
2019-03-11,1390645.4925240113,0.11876315243551572,1392865.0573473205,0.11852237109774122
2019-03-12,1425678.4180728109,0.025191844892989312,1426307.0872491512,0.024009526066739232
2019-03-13,1468019.280485011,0.02969874683902085,1469083.1849400303,0.029990804976913758
2019-03-14,1415918.5749022109,-0.03549047773104641,1420993.9329574262,-0.032734192641764685
2019-03-15,1318355.1223790112,-0.06890470557598116,1322999.2059082852,-0.06896210094661748
2019-03-16,1303982.9354252112,-0.010901605121285574,1308855.5626491813,-0.010690590890713223
2019-03-17,1469496.8945574109,0.12692954381203436,1474157.378724749,0.12629492572961176
2019-03-18,1429696.1981608109,-0.027084573328470585,1436207.0025446462,-0.02574377520867721
2019-03-19,1427761.3204750114,-0.0013533488361293644,1434532.6256252625,-0.0011658325829194682
2019-03-20,1376695.802163211,-0.035766144928769394,1383137.632231082,-0.0358269951314486
2019-03-21,1411852.057496211,0.02553669102336098,1415851.5690044973,0.023651975053737617
2019-03-22,1430797.6410096108,0.013418958036579332,1434769.9702861668,0.013361853527464884
2019-03-23,1442518.3256094109,0.008191713673451062,1445819.4085580588,0.007701191480672166
2019-03-24,1552895.327428211,0.07651688013888491,1555464.303958273,0.07583581652812721
2019-03-25,1576964.040398211,0.015499250042732005,1579638.413934695,0.015541410956783075
2019-03-26,1561903.3506764108,-0.009550433196940267,1564870.731044854,-0.009348774225524492
2019-03-27,1550988.0023724108,-0.0069884915089483135,1553900.4486530647,-0.007010344160801485
2019-03-28,1489500.3525546112,-0.03964418146610249,1495197.0484597932,-0.037778095916090486
2019-03-29,1536022.346127411,0.03123328805730785,1542508.626997001,0.0316423702052806
2019-03-30,1533674.839784811,-0.0015283022076588715,1539697.2187788042,-0.0018226207419469453
2019-03-31,1565579.2578196109,0.02080259596569789,1571514.9135910696,0.020664903738347503
2019-04-01,1469750.5628624111,-0.0612097372129603,1480231.442054294,-0.0580862903350905
2019-04-02,1380830.0485294105,-0.06050041182486343,1391579.9314519593,-0.059890303694199676
2019-04-03,1402097.358532211,0.01540183024366426,1412271.1148716104,0.01486884292594115
2019-04-04,1402190.3185028108,6.630065311363786e-05,1412897.3637035843,0.0004434338600989296
2019-04-05,1440869.2386040112,0.027584643532912123,1448149.933583198,0.02495055252081957
2019-04-06,1424312.065198011,-0.01149110062342762,1430842.4892492718,-0.011951417413735621
2019-04-07,1375805.636081811,-0.03405604031687848,1383507.785675643,-0.03308170111614739
2019-04-08,1432654.306930211,0.04132027763042201,1441958.9527884026,0.042248527776961316
2019-04-09,1419751.1240230112,-0.0090064873604071,1429750.558230618,-0.008466534039805018
2019-04-10,1460453.693558811,0.028668805995000657,1473069.2944879131,0.030298107602003018
2019-04-11,1474242.209085411,0.00944125485622238,1483692.812639695,0.007211825126987481
2019-04-12,1555877.5217554108,0.05537442366451084,1560106.7917773887,0.05150256069633618
2019-04-13,1581850.0056844112,0.016693141693889357,1586249.1861925963,0.016756798030104214
2019-04-14,1608897.476774611,0.01709863197711803,1610187.5805330426,0.015091194087799353
2019-04-15,1666277.0492502109,0.03566390854849866,1665785.5032993725,0.034528848339473894
2019-04-16,1623178.4403638113,-0.025865211854050885,1624164.2501384541,-0.02498596192515801
2019-04-17,1657211.2009380108,0.020966740148773422,1657491.52375057,0.020519644863057795
2019-04-18,1701534.266952811,0.026745574728020527,1697633.01173568,0.02421821614766273
2019-04-19,1812894.030393211,0.06544667692166328,1810281.2695178515,0.0663560716618008
2019-04-20,1912114.387600411,0.05473036787797203,1908315.906756284,0.054154367550045324
2019-04-21,1938396.735175211,0.013745175364630047,1930369.81271907,0.011556737479735624
2019-04-22,1965847.262044811,0.01416145950489267,1956700.243621,0.01364009669465438
2019-04-23,1965847.262044811,0.0,1956700.243621,0.0
2019-04-24,2305334.5076656113,0.17269258511349284,2293634.0482184817,0.17219490092870027
2019-04-25,1982035.8695466502,-0.1402393609447743,1978692.8371308385,-0.13731101146334354
2019-04-26,2195889.4074968845,0.10789589695929602,2185408.4535443964,0.10447079634315637
2019-04-27,2124909.3040736886,-0.03232407933699488,2118935.714455127,-0.030416620280506845
2019-04-28,1945176.0826112116,-0.08458394959159354,1918115.0209142803,-0.09477432098145856
2019-04-29,1912405.7302696528,-0.0168469850285059,1882064.8727241287,-0.01879457060555612
2019-04-30,1940727.322816155,0.014809405817095556,1913831.344856781,0.016878521348030032
2019-05-01,2084549.7293015118,0.07410747753922409,2107605.008481348,0.10124908035669566
2019-05-02,1997101.955213792,-0.04195043795718023,1977830.768303502,-0.06157427015764971
2019-05-03,1973559.1756052102,-0.011788471563566882,1941618.075334959,-0.01830929801926617
2019-05-04,1994513.9287316487,0.010617747562604807,1978455.1436858904,0.01897235548993148
2019-05-05,2018517.395352351,0.012034745044857464,2027710.3129473592,0.02489577255196473
2019-05-06,2080220.1839174929,0.030568370977239523,2167339.3536041323,0.06886044804586344
2019-05-07,2097005.3776392185,0.008068950513745898,2211668.124281106,0.020453082533318238
2019-05-08,2070945.756396567,-0.012427064575289304,2133933.027054124,-0.035147722379120235
2019-05-09,2032325.1062464255,-0.01864879851674195,1993388.759681904,-0.06586161120822065
2019-05-10,2048540.45148433,0.007978716194601887,2071896.7580596416,0.039384188355845666
2019-05-11,2037640.2879160247,-0.0053209413367489855,1999326.927698457,-0.03502579463908584
2019-05-12,2014501.3183811156,-0.011355767586718746,1793146.8132081626,-0.1031247624557533
2019-05-13,2016189.132276255,0.0008378321124633548,1898517.229193037,0.058762849315362915
2019-05-14,2008697.931077724,-0.0037155250361227132,1652327.3241417424,-0.12967483321493867
2019-05-15,2011574.8009496,0.001432206320007623,1693696.4327707328,0.02503687255216125
2019-05-16,2014952.751133281,0.0016792565616183808,1860655.0704244948,0.09857648302454812
2019-05-17,2013770.8641576243,-0.0005865581587419788,1835846.1572216675,-0.013333429498659009
2019-05-18,2015604.4786103887,0.000910537780340448,1877621.680523359,0.02275545973030435
2019-05-19,2014744.754322585,-0.000426534221831254,1848400.039688756,-0.015563114304505632
2019-05-20,2012678.066836313,-0.0010257812965328572,1802687.846788456,-0.02473068162668812
2019-05-21,2011482.9394781918,-0.000593799563782138,1727990.8066747778,-0.0414364806678833
2019-05-22,2012503.9869389818,0.0005076093069200649,1715434.627306867,-0.00726634616307542
2019-05-23,2013136.9161604715,0.00031449836899577477,1733041.2605129778,0.010263657341319066
2019-05-24,2013137.7028208624,3.907634817945649e-07,1726203.3516202874,-0.003945612287768907
2019-05-25,2009872.860890484,-0.0016217678134007318,1656178.2856520098,-0.04056594253657842
2019-05-26,2010841.6578338563,0.0004820190183290052,1670176.2698790182,0.008451979082371386
2019-05-27,2010859.6750317626,8.96002817341035e-06,1664654.683479416,-0.003305990211441734
2019-05-28,2010666.0072636781,-9.631093133410928e-05,1678968.7078030747,0.008598794972744628
2019-05-29,2012834.7326300764,0.0010786104497533255,1761564.177668776,0.04919416870715665
2019-05-30,2012615.2308548032,-0.00010905106699266032,1813259.5838328388,0.029346308706433618
2019-05-31,2012629.9030963238,7.290137377324868e-06,1832924.4729744715,0.010845049058042509
2019-06-01,2013814.5838321587,0.0005886232406724368,1882885.6025709654,0.0272576040819712
2019-06-02,2013860.2499822453,2.267644223707954e-05,1907441.1706807874,0.013041455134763735
2019-06-03,2016824.7520726644,0.0014720495577811299,2050397.640595957,0.07494672554653259
2019-06-04,2014798.6922036563,-0.0010045790378792052,1992872.480918958,-0.028055611525322988
2019-06-05,2014884.1935339526,4.243666160164139e-05,2069748.3993890972,0.03857543280174669
2019-06-06,2013536.1849938652,-0.0006690253188810225,2071557.225790224,0.0008739354028057812
2019-06-07,2010847.9428303584,-0.0013350851022898569,2050118.71814248,-0.0103489816167478
2019-06-08,2009918.3938011609,-0.0004622671905709641,1964368.082201896,-0.04182715624306799
2019-06-09,2012321.3410633518,0.0011955446895763888,1996305.03298818,0.016258129561179224
2019-06-10,2011132.564659007,-0.000590748793488749,1970989.6346484025,-0.012681127343492138
2019-06-11,2010519.315606156,-0.0003049272154542759,1889392.537807,-0.04139904919183335
2019-06-12,2005058.998944491,-0.0027158737641964636,1740560.894641737,-0.07877221921179499
2019-06-13,2005523.354277664,0.00023159185511123503,1784321.0653173008,0.02514141895884148
2019-06-14,2004739.7595644726,-0.0003907183187471519,1793465.1267773542,0.005124672704812427
2019-06-15,2004798.6416366454,2.9371429329794196e-05,1769971.4533888497,-0.013099598669487287
2019-06-16,2006868.7569370728,0.0010325801591413164,1792415.9938402688,0.012680735843759505
2019-06-17,2008803.9884356882,0.0009643039645348406,1890308.3167357743,0.0546147340973957
2019-06-18,2007396.829854661,-0.0007004957124379096,1862375.3724356187,-0.014776925040667853
2019-06-19,2005357.1624355626,-0.0010160758394970326,1755117.0302857098,-0.057592225357681937
2019-06-20,2006246.8927900272,0.00044367675301493215,1755672.618865121,0.0003165535800884189
2019-06-21,2006888.4447374498,0.0003197771668721483,1802770.8112554904,0.02682629545183324
2019-06-22,2006268.929767224,-0.00030869427339130784,1760469.265453425,-0.023464738577948063
2019-06-23,2005421.449957941,-0.0004224158569715586,1755299.2017149332,-0.002936753194132113
2019-06-24,2005808.3138852862,0.00019290904031832312,1794689.7876397094,0.02244095245203304
2019-06-25,2005808.3138852862,0.0,1794689.7876397094,0.0
2019-06-26,1998736.3092515045,-0.003525762947947486,1686903.4641642259,-0.06005847039294687
2019-06-27,1993027.647222695,-0.0028561356505037994,1644792.0678411503,-0.02496372626986076
2019-06-28,1995463.8342338402,0.001222354850189955,1659210.6312864132,0.008766192230114322
2019-06-29,1997195.6106646631,0.0008678565860793519,1665759.761983821,0.003947136411686314
2019-06-30,2003348.8112264397,0.003080920330947867,1686807.674474623,0.012635623077925208
2019-07-01,2039421.815819895,0.018006352359263733,1787432.5390799246,0.059654023471669586
2019-07-02,2058824.473977292,0.009513803376471452,1834111.2565609098,0.02611495340966141
2019-07-03,2056021.8481135638,-0.0013612747949872661,1828250.1731143256,-0.003195598645184594
2019-07-04,2054037.683820264,-0.0009650501988198723,1824587.2807151047,-0.0020034962682277113
2019-07-05,2031341.679253276,-0.01104945870553653,1786251.9396625462,-0.021010417784746327
2019-07-06,2049900.5177204087,0.009136246578643092,1815811.1901533727,0.016548197840675627
2019-07-07,2040879.507639664,-0.004400706279530375,1803756.3604715916,-0.006638812309975428
2019-07-08,2026942.5542435925,-0.006828895750043529,1785801.667323889,-0.009954056734695628
2019-07-09,1996115.2774983656,-0.01520875699248958,1748608.2726670662,-0.020827281851830137
2019-07-10,2005333.7652789184,0.004618214130451381,1758888.7638995138,0.005879242019579012
2019-07-11,2042369.994239512,0.018468860197665027,1798389.3255116257,0.022457680339339925
2019-07-12,2033837.0403953856,-0.004177966709358993,1790054.8913152413,-0.004634388159534542
2019-07-13,2033322.2839203912,-0.000253096223920779,1790906.868546599,0.00047595033844571866
2019-07-14,2031253.7317426938,-0.0010173262714207043,1789446.6882117419,-0.0008153301327400443
2019-07-15,2017291.4528652332,-0.006873724665348302,1778630.1029633281,-0.006044653534340916
2019-07-16,2010329.2565052332,-0.0034512595342190977,1774380.2832225412,-0.0023893780577008967
2019-07-17,2001896.6034652332,-0.004194662646784253,1767497.0446351857,-0.0038792352757969217
2019-07-18,2015257.2492252332,0.00667399392000223,1780518.0357638246,0.007366909703278469
2019-07-19,1998641.6118652327,-0.008244921270665784,1765608.7696876684,-0.008373555210722805
2019-07-20,1966904.429465233,-0.01587937637822967,1737674.086638879,-0.015821558846091932
2019-07-21,1976836.768665233,0.00504973147205745,1745821.4761756547,0.004688675281182775
2019-07-22,1909987.3728492332,-0.033816345828662775,1686605.8576333334,-0.033918484421464064
2019-07-23,1692670.9347972334,-0.11377899201910269,1494164.103368895,-0.11410001536130987
2019-07-24,1666490.537617233,-0.015466914827799383,1471515.138191727,-0.015158284907327957
2019-07-25,1594357.5584332338,-0.04328436169048755,1408046.1447467043,-0.04313172987334446
2019-07-26,1620401.6442772332,0.016335160018680295,1431466.899619389,0.016633513724010784
2019-07-27,1619239.2854852336,-0.0007173275811614976,1430438.751581873,-0.0007182478601421849
2019-07-28,1591460.3076012337,-0.017155573072497154,1405893.726320613,-0.017159088590208094
2019-07-29,1628592.1770670975,0.023331948204119435,1438882.9391113706,0.023464940609056132
2019-07-30,1638264.884203491,0.00593930590641345,1447214.2457951463,0.005790121251226354
2019-07-31,1648007.2895743654,0.005946782760720026,1455937.599123589,0.0060276861935184564
2019-08-01,1621960.3747080874,-0.015805096877335556,1432762.228801606,-0.015917832148804708
2019-08-02,1611378.5588546363,-0.0065240902419428926,1423497.6071265938,-0.006466265992202569
2019-08-03,1600721.1815043332,-0.006613825963948772,1414094.7590431185,-0.006605454084644079
2019-08-04,1568743.4829758857,-0.019977057152698707,1385886.827749626,-0.01994769523973061
2019-08-05,1619147.3701427728,0.03213010139253081,1430548.3810204358,0.03222597428343432
2019-08-06,1615850.6740351191,-0.002036069210527125,1427627.4142170614,-0.0020418511125718237
2019-08-07,1687689.178213109,0.044458628097480135,1491269.5414645742,0.04457894728955969
2019-08-08,1685875.1118512924,-0.0010748817882078043,1489662.4500648403,-0.001077666615624473
2019-08-09,1634051.9551724037,-0.030739617848667744,1443752.0296090634,-0.03081934464668723
2019-08-10,1636949.0453804866,0.0017729486500797087,1446318.5778101997,0.001777693224667809
2019-08-11,1633904.9399861903,-0.0018596213503938586,1443623.9234171046,-0.0018631126187806935
2019-08-12,1644413.9225706502,0.00643182006937848,1452933.5249256748,0.006448771981094614
2019-08-13,1611266.9855722561,-0.020157295279145226,1423556.9869227703,-0.02021877635758129
2019-08-14,1580366.4274635615,-0.019177801311258125,1396181.649176593,-0.019230236652031163
2019-08-15,1591404.730496557,0.006984647889990647,1405960.542741553,0.00700402671151501
2019-08-16,1565817.0371065019,-0.01607868375637611,1383292.2639774864,-0.01612298359373909
2019-08-17,1568822.6679493058,0.0019195287645854542,1385954.968925836,0.0019249040984972157
2019-08-18,1614538.0681308056,0.02913994112620566,1426454.4941987104,0.029221386106262237
2019-08-19,1618775.059050979,0.002624274400094384,1430208.0678340988,0.0026314008968768565
2019-08-20,1586371.9075222032,-0.02001708103148847,1401501.9370980605,-0.020071296884453197
2019-08-21,1476050.3075415988,-0.06954333940073276,1303767.4229339142,-0.0697355541059862
2019-08-22,1471903.2913679888,-0.002809535794560447,1300092.7651230008,-0.0028184918155449434
2019-08-23,1700406.451386749,0.1552433243126925,1502524.6510995117,0.15570572455063147
2019-08-24,1814788.3386338027,0.06726738019240686,1603856.1961571819,0.0674408536216149
2019-08-25,1874838.8644223118,0.03308954797104091,1657055.288304806,0.03316949005471215
2019-08-26,1816976.28105968,-0.030862696768589104,1605794.50642507,-0.030934865143924406
